UserID,Gender,AgeGroup,FamilySubscription,MonthsSubscribed,StreamingQuality,CustomerSupportRating,BillingCycle,MonthlyPlanPrice,CancelledSubscription,AvgWatchTimePerWeek,PreferredGenre,AppRating
7590-VHVEG,0,1,1,1,1,2,1,29.85,0,23,4,3.1
5575-GNVDE,1,1,0,34,1,2,2,56.95,0,26,3,2.6
3668-QPYBK,1,1,0,2,1,2,1,53.85,1,27,1,1.2
7795-CFOCW,1,1,0,45,1,4,2,42.3,0,17,3,4.8
9237-HQITU,0,1,0,2,0,1,1,70.7,1,25,2,4.8
9305-CDSKC,0,1,0,8,0,3,1,99.65,1,27,3,2.1
1452-KIOVK,1,1,0,22,0,1,1,89.1,0,13,0,3.9
6713-OKOMC,0,1,0,10,1,2,1,29.75,0,21,1,3.3
7892-POOKP,0,1,1,28,0,4,1,104.8,1,23,1,1.9
6388-TABGU,1,1,0,62,1,3,2,56.15,0,12,0,2.0
9763-GRSKD,1,1,1,13,1,3,1,49.95,0,26,3,3.0
7469-LKBCI,1,1,0,16,2,0,0,18.95,0,14,0,2.7
8091-TTVAX,1,1,1,58,0,1,2,100.35,0,3,4,2.2
0280-XJGEX,1,1,0,49,0,2,1,103.7,1,26,0,4.2
5129-JLPIS,1,1,0,25,0,5,1,105.5,0,9,3,2.9
3655-SNQYZ,0,1,1,69,0,4,0,113.25,0,19,0,3.6
8191-XWSZG,0,1,0,52,2,0,2,20.65,0,28,2,1.8
9959-WOFKT,1,1,0,71,0,1,0,106.7,0,30,0,3.1
4190-MFLUW,0,1,1,10,1,5,1,55.2,1,12,0,2.3
4183-MYFRB,0,1,0,21,0,1,1,90.05,0,30,3,3.1
8779-QRDMV,1,0,0,1,1,2,1,39.65,1,8,4,4.1
1680-VDCWW,1,1,1,12,2,0,2,19.8,0,19,4,4.1
1066-JKSGK,1,1,0,1,2,0,1,20.15,1,20,3,2.4
3638-WEABW,0,1,1,58,1,5,0,59.9,0,7,3,3.8
6322-HRPFA,1,1,1,49,1,5,1,59.6,0,20,3,4.8
6865-JZNKO,0,1,0,30,1,3,1,55.3,0,28,2,3.5
6467-CHFZW,1,1,1,47,0,3,1,99.35,1,19,1,1.6
8665-UTDHZ,1,1,1,1,1,3,1,30.2,1,24,0,3.7
5248-YGIJN,1,1,1,72,1,5,0,90.25,0,18,3,1.4
8773-HHUOZ,0,1,0,17,1,2,1,64.7,1,10,3,4.5
3841-NFECX,0,0,1,71,0,4,0,96.35,0,26,3,3.1
4929-XIHVW,1,0,1,2,0,3,1,95.5,0,15,4,2.5
6827-IEAUQ,0,1,1,27,1,5,2,66.15,0,26,3,1.2
7310-EGVHZ,1,1,0,1,2,0,1,20.2,0,18,0,2.5
3413-BMNZE,1,0,0,1,1,2,1,45.25,0,13,3,4.6
6234-RAAPL,0,1,1,72,0,4,0,99.9,0,8,0,1.1
6047-YHPVI,1,1,0,5,0,2,1,69.7,1,29,2,2.9
6572-ADKRS,0,1,0,46,0,2,1,74.8,0,5,1,4.7
5380-WJKOV,1,1,0,34,0,2,1,106.35,1,3,4,2.6
8168-UQWWF,0,1,0,11,0,3,1,97.85,1,20,0,2.7
8865-TNMNX,1,1,1,10,1,2,2,49.55,0,7,2,3.3
9489-DEDVP,0,1,1,70,1,3,0,69.2,0,15,1,2.9
9867-JCZSP,0,1,1,17,2,0,2,20.75,0,12,1,1.7
4671-VJLCL,0,1,0,63,1,5,0,79.85,0,7,1,1.1
4080-IIARD,0,1,1,13,1,5,1,76.2,0,28,0,3.4
3714-NTNFO,0,1,0,49,0,3,1,84.5,0,16,2,4.7
5948-UJZLF,1,1,0,2,1,3,1,49.25,0,19,3,1.4
7760-OYPDY,0,1,0,2,0,2,1,80.65,1,3,2,1.8
7639-LIAYI,1,1,0,52,1,5,0,79.75,0,27,2,2.5
